sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1658047620.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1658047620.612485",0,0,1658047620,0,0,canceled,"0.28700000000000003",,,,,,,,,,,
"1658051220.12","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1658051220.607497",0,0,1658051220,0,0,canceled,"0.28600000000000003",,,,,,,,,,,
"1658054820.36","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1658054820.976343",0,0,1658054821,0,0,canceled,"0.266",,,,,,,,,,,
"1658058420.43","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","chandana-VirtualBox","1658058420.462868",0,0,1658058420,0,0,canceled,"0.268",,,,,,,,,,,
